Företagsnamn	Typ	Finansiär	Belopp	Mottaget datum	Anteckning
Equiesum AB	De minimis	Sprint X TVV De minimis	30000	2026-03-31	Origami makers teamutvecklingsinsats Sprint X 2
Equiesum AB	De minimis	Sprint X TVV De minimis	4446	2026-03-31	Buss och logi techarena
Enava AB	De minimis	Vinnova Excellensmedel	14743	2026-03-31
Fixkod AB	Ägarkapital	Nyemission	500000	2026-03-30	Tregion
Machindex AB	De minimis	Sprint X TVV De minimis	6537	2026-02-06	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
EduFuture Europe AB	De minimis	Sprint X TVV De minimis	21605	2026-02-06	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
RE EdTech AB	Excellensmedel	Vinnova Excellensmedel	12070	2026-01-31	Slutfaktura Affärsjuridik Barzey law
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	1403	2025-12-31	Workshop IP strategi Rouse
EqLab	Excellensmedel	Vinnova Excellensmedel	2903	2025-12-31	Workshop IP strategi med Rouse samt utb PRV
CADcog AB	De minimis	Sprint X TVV De minimis	29637	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Angels network AB	Excellensmedel	Vinnova Excellensmedel	2903	2025-12-31	Workshop IP strategi samt PRV utbildning
Enava AB	De minimis	Vinnova Excellensmedel	112651	2025-12-31	Excellensstöd - checkar samt intern tid juli-dec 2025
Hydrogen Lift Sweden AB	De minimis	Sprint X TVV De minimis	34687	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
ProTime Sport AB	De minimis	Sprint X TVV De minimis	25369	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	2550	2025-12-31	Vesting avtal Barzey law
ProTime Sport AB	Excellensmedel	Vinnova Excellensmedel	1403	2025-12-31	Workshop IP strategi Rouse
Polletten AB	Excellensmedel	Vinnova Excellensmedel	1403	2025-12-31	Workshop IP strategi Rouse
Happymaker AB	De minimis	Sprint X TVV De minimis	9720	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
EqLab	De minimis	Sprint X TVV De minimis	13490	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
RE EdTech AB	De minimis	Sprint X TVV De minimis	8035	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Angels network AB	De minimis	Sprint X TVV De minimis	4678	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Fixkod AB	De minimis	Sprint X TVV De minimis	20298	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Car Wash'ap AB (Green Clean car wash Sweden AB)	De minimis	Sprint X TVV De minimis	10467	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Polletten AB	Excellensmedel	Vinnova Excellensmedel	73000	2025-12-31	Barzey law affärsjuridik 70 000kr plus PRV utb 3000kr
ProTime Sport AB	Excellensmedel	Vinnova Excellensmedel	3775	2025-12-31	Paralegal Barzey law
Söderström Group AB	De minimis	Sprint X TVV De minimis	8835	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
NESP Sweden AB	Excellensmedel	Vinnova Excellensmedel	1403	2025-12-31	Workshop IP strategi Rouse
Gefle Bryggeri AB	De minimis	Sprint X TVV De minimis	8852	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Revolvision AB	De minimis	Sprint X TVV De minimis	7530	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Control Edge AB	De minimis	Annan (ange vilken)	125000	2025-12-31	Propell/Rise för stöd och kontorsplats
NESP Sweden AB	De minimis	Sprint X TVV De minimis	36720	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Agroclimate Sweden AB	De minimis	Sprint X TVV De minimis	14497	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
Happymaker AB	Excellensmedel	Vinnova Excellensmedel	17000	2025-12-31	Utökning av uppdrag GDPR och datahantering Barzey Law
Polletten AB	De minimis	Sprint X TVV De minimis	6418	2025-12-31	Aktiviteter inom ramen för Sprint X 2 juli-dec 2025
RE EdTech AB	Excellensmedel	Vinnova Excellensmedel	1403	2025-12-31	Workshop IP strategi Rouse
Happymaker AB	Excellensmedel	Vinnova Excellensmedel	17700	2025-12-31	Anv villkor Engelska Barzey law
RE EdTech AB	Excellensmedel	Vinnova Excellensmedel	22780	2025-12-31	Affärsjuridik Barzey law
EduFuture Europe AB	Bidrag	Annan (ange vilken)	100000	2025-12-17	Ahlgrens Fond
RE EdTech AB	Bidrag	ALMI	50000	2025-12-01	Valideringsmedel från ALMI
Agroclimate Sweden AB	Bidrag	Vinnova Utlysning	1000000	2025-11-03	Vinnova Deep Tech
Angels network AB	Lån	ALMI	400000	2025-10-08	Innovationslån
Angels network AB	Lån	Annan (ange vilken)	100000	2025-10-08	Nya lånet
Agroclimate Sweden AB	Lån	ALMI	500000	2025-09-30	nya lånet + innovationslån
CADcog AB	Lån	ALMI	500000	2025-09-30	Nya lånet + innovationslån
ProTime Sport AB	Ägarkapital	Nyemission	3988336	2025-09-17	Oklart datum
Ifeanyi Obiano	Bidrag	ALMI	50000	2025-09-04	Valideringsmedel. Kan eventuell höjas till 100000 kr
NESP Sweden AB	De minimis	Sprint X TVV De minimis	135800	2025-06-30	Sprint X 2.0 insatser 20250101-20250630
Enava AB	De minimis	Sprint X TVV De minimis	6381	2025-06-30	Sprint X 2 intern tid och externa insatser 20250101-20250630
Solask Energi AB	De minimis	Movexum De minimis	89000	2025-06-30	MVB med Human kommunikation 45 000kr + 44 000kr
Agroclimate Sweden AB	De minimis	Sprint X TVV De minimis	5106	2025-06-30	Sprint X 2 insatser 20250101-20250630
EqLab	De minimis	Sprint X TVV De minimis	20159	2025-06-30	Sprint X 2 insatser 20250310-20250630
DevUp Solution AB	De minimis	Sprint X TVV De minimis	2722	2025-06-30	Sprint x 2 insatser 20250101-20250630
EduFuture Europe AB	De minimis	Sprint X TVV De minimis	63911	2025-06-30	Sprint X 2.0 intern tid och externa insatser 20250101-20250630
Invite To Do AB	De minimis	Sprint X TVV De minimis	12135	2025-06-30	Sprint x 2 intern och externa insatser 20250101-20250331
CADcog AB	De minimis	Sprint X TVV De minimis	42123	2025-06-30	Sprint X 2 insatser 20250101-20250630 externa kostnader samt intern tid
Revolvision AB	De minimis	Sprint X TVV De minimis	30417	2025-06-30	Sprint X 2 insatser 20250101-20250630
Söderström Group AB	De minimis	Sprint X TVV De minimis	32847	2025-06-30	Sprint X 2.0 insatser 20250101-20250630
Konstraktor i Gävle AB	De minimis	Movexum De minimis	19000	2025-06-30	Sprint X 2 insatser intern tid samt externa insatser 20250101-20250630
Hydrogen Lift Sweden AB	De minimis	Sprint X TVV De minimis	15848	2025-06-30	Sprint X 2.0 intern tid och externa insatser 20250101-20250630
Happymaker AB	De minimis	Sprint X TVV De minimis	50760	2025-06-30	Sprint X 2.0 insatser 20250101-20250630
Friggy AB	De minimis	Sprint X TVV De minimis	9680	2025-06-30	Sprint x 2 insatser 20250101-20250630
Car Wash'ap AB (Green Clean car wash Sweden AB)	De minimis	Sprint X TVV De minimis	30125	2025-06-30	Sprint X 2 insatser 20250201-20250630
Angels network AB	De minimis	Sprint X TVV De minimis	6785	2025-06-30	Sprint X 2 insatser 20250201-20250630
Fixkod AB	De minimis	Sprint X TVV De minimis	95869	2025-06-30	Sprint X 2.0 insatser intern tid och externt 20250101-20250630
ProTime Sport AB	De minimis	Sprint X TVV De minimis	39881	2025-06-30	Sprint x 2 intern tid och externa insatser 20250101-20250630
Polletten AB	De minimis	Sprint X TVV De minimis	7021	2025-06-30	Sprint X 2.0 insatser 20250307-20250630
Solask Energi AB	De minimis	Sprint X TVV De minimis	11780	2025-06-30	Stöd med hållbarhets workshop, Go west samt intern tid 20250101-20250630
Car Wash'ap AB (Green Clean car wash Sweden AB)	Innovationscheck	Region Gävleborg verifieringsmedel	400000	2025-06-10
Car Wash'ap AB (Green Clean car wash Sweden AB)	Ägarkapital	Riskkapital	1830000	2025-06-10	Nyemission med 2 privata ägare
Angels network AB	Bidrag	ALMI	50000	2025-05-23	Verifieringsmedel
Fixkod AB	Bidrag	Region Gävleborg verifieringsmedel	100000	2025-05-20
Actsport AB	De minimis	Sprint X TVV De minimis	28230	2025-04-30	Sprint x 2 aktiviteter inkl intern tid 2501-2504
Dirty Peach Design AB	De minimis	Sprint X TVV De minimis	17455	2025-04-30	Insatser Sprint X 2.0 202501-202504
Climate Champ	De minimis	Sprint X TVV De minimis	121269	2025-04-30	Insatser inom ramen för Sprint X 2 jan-april 2025, insatser samt intern tid (Adderat insatser hållbarhet )
Dirty Peach Design AB	Excellensmedel	Vinnova Excellensmedel	1500	2025-04-30	PRV inför IP check
Dirty Peach Design AB	Excellensmedel	Vinnova Excellensmedel	100000	2025-04-30	Rouse IP strategi
EduFuture Europe AB	Bidrag	Annan (ange vilken)	63000	2025-04-25	Bolaget har vunnit flera priser i Cozad New venture Challenge i USA.
Fixkod AB	Lån	Riskkapital	500000	2025-04-15	Konvertibellån från ny ägare
Fixkod AB	Lån	ALMI	500000	2025-03-31
Enava AB	De minimis	Vinnova Excellensmedel	55000	2025-03-20	Barzey law tot beviljat 120 000kr tidigare fakturerat 25 000kr
Bioski AB	Innovationscheck	Vinnova Innovationscheck via SISP	100000	2025-01-27	Genomfört IP strategi med Rouse - innovationscheck 100 000kr inkl moms
Actsport AB	De minimis	Region Gävleborg verifieringsmedel	100000	2025-01-22	Region Gävleborg verifieringsmedel beviljade 2025-01
Söderström Group AB	Innovationscheck	Annan (ange vilken)	100000	2025-01-22	Innovationscheck via Sandbacka Science park IP strategi
Fixkod AB	Ägarkapital	Nyemission	560000	2025-01-01
DevUp Solution AB	De minimis	Sprint X TVV De minimis	16568	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
Dirty Peach Design AB	De minimis	Sprint X TVV De minimis	9022	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
Car Wash'ap AB (Green Clean car wash Sweden AB)	De minimis	Sprint X TVV De minimis	10798	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
Affärskompetens Sverige AB	De minimis	Sprint X TVV De minimis	21745	2024-12-31	Insatser och tid nedlagd av personal juli-dec 2024 Sprint X 2.0
Happymaker AB	De minimis	Sprint X TVV De minimis	9349	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
Invite To Do AB	De minimis	Sprint X TVV De minimis	18436	2024-12-31	Aktiviteter och intern tid sprint x 2 juli-dec 2024
Fixkod AB	De minimis	Sprint X TVV De minimis	33116	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
Hydrogen Lift Sweden AB	De minimis	Sprint X TVV De minimis	25022	2024-12-31	Aktiviteter och intern tid Sprint x 2 juli-dec 2024
EduFuture Europe AB	De minimis	Sprint X TVV De minimis	27628	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
Head on nails AB	De minimis	Sprint X TVV De minimis	13049	2024-12-31	Nedlagd tid jan-mars 2024 sprint x 2
NESP Sweden AB	De minimis	Sprint X TVV De minimis	18528	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
ProTime Sport AB	De minimis	Sprint X TVV De minimis	31454	2024-12-31	Insatser och tid nedlagd av personal juli-dec 2024 Sprint X 2.0
Solask Energi AB	De minimis	Sprint X TVV De minimis	41970	2024-12-31	Insatser och tid nedlagd av personal juli-dec 2024 Sprint X 2.0
Actsport AB	De minimis	Sprint X TVV De minimis	24043	2024-12-31	Insatser och tid nedlagd av personal juli-dec 2024 Sprint X 2.0
Erlig AB	De minimis	Sprint X TVV De minimis	15107	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-nov 2024
Agroclimate Sweden AB	De minimis	Sprint X TVV De minimis	8172	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
Söderström Group AB	De minimis	ALMI	25000	2024-12-31	Fått stöd från Almi 25 000kr söker 25 000kr till
Wellgo Health AB	De minimis	Sprint X TVV De minimis	65472	2024-12-31	Insatser och tid nedlagd av personal juli-dec 2024 Sprint X 2.0
Söderström Group AB	De minimis	Movexum De minimis	30000	2024-12-31	Beviljat 30 000kr för affärsjuridiska insatser med Barzey Law
Sin Fin Concrete i Scandiavien AB	De minimis	Sprint X TVV De minimis	23825	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
Söderström Group AB	De minimis	Sprint X TVV De minimis	16172	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
Climate Champ	De minimis	Sprint X TVV De minimis	33133	2024-12-31	Insatser och tid nedlagd av personal juli-dec 2024 Sprint X 2.0
PepperVault AB	De minimis	Sprint X TVV De minimis	21745	2024-12-31	Insatser och tid nedlagd av personal juli-dec 2024 Sprint X 2.0
Konstraktor i Gävle AB	De minimis	Sprint X TVV De minimis	26625	2024-12-31	Insatser och nedlagd tid Sprint x 2 juli-dec 2024
CADcog AB	De minimis	Sprint X TVV De minimis	44282	2024-12-31	Insatser och tid nedlagd av personal juli-dec 2024 Sprint X 2.0
Enava AB	De minimis	Sprint X TVV De minimis	16757	2024-12-31	Insatser och tid nedlagd av personal juli-dec 2024 Sprint X 2.0
Hydrogen Lift Sweden AB	De minimis	Annan (ange vilken)	52000	2024-12-16	GAP analys o rådgivning RISE  (Mighty Edih)
Hydrogen Lift Sweden AB	Ägarkapital	Nyemission	7000000	2024-12-15
Dirty Peach Design AB	Bidrag	Annan (ange vilken)	170000	2024-12-13	Ahlgrens stipendium för internationalisering
Hydrogen Lift Sweden AB	Innovationscheck	Vinnova Innovationscheck via SISP	471000	2024-12-12	Infrastrukturcheck beviljad 2024-12-12 471 000kr inkl moms via Rise - klart maj 2024 senast
Enava AB	De minimis	Vinnova Excellensmedel	16000	2024-12-09	Videa film
Agroclimate Sweden AB	Excellensmedel	Vinnova Excellensmedel	25000	2024-11-30	Barzey Law - NDA
Revolvision AB	Innovationscheck	Annan (ange vilken)	252575	2024-11-22	Investeringsstöd från Region Gävleborg 2022-2024, innan intag i inkubatorn.
Happymaker AB	Ägarkapital	Annan (ange vilken)	580000	2024-11-13	Oklart datum
Enava AB	De minimis	Vinnova Excellensmedel	5610	2024-10-31	Barzey law tidigare fakturerat 15 640kr slutfakturerat
Konstraktor i Gävle AB	Excellensmedel	Vinnova Excellensmedel	20000	2024-09-30	affärscoachning Andreas september (origami makers)
Invite To Do AB	Excellensmedel	Vinnova Excellensmedel	1700	2024-09-30	Delfaktura Barzey law - upphandlingsjuridik - tot bev 10 000kr
Dirty Peach Design AB	Excellensmedel	Vinnova Excellensmedel	40000	2024-09-30	Delfakturerat Barzey law - tot bev 100 000kr - fakturerat 90 000kr
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	20000	2024-09-30	affärscoachning september - Andreas (origami makers)
Happymaker AB	Excellensmedel	Vinnova Excellensmedel	20000	2024-09-30	affärscoachning september Andreas (origami makers)
Enava AB	Lån	ALMI	200000	2024-09-30	Almi + nya lånet
EduFuture Europe AB	Excellensmedel	Vinnova Excellensmedel	20060	2024-09-30	Barzey law - beviljat 50 000kr delfakturerat affärsjuridik
Konstraktor i Gävle AB	Lån	ALMI	200000	2024-09-30	Almi + nya lånet
Enava AB	De minimis	Vinnova Excellensmedel	25000	2024-09-30	Affärsjuridiskt stöd tvist - Barzey law
Enava AB	De minimis	Vinnova Excellensmedel	12500	2024-09-12	Delfaktura Lindahls - tot beviljat 100 000kr 15 500+12500 fakturerat
PepperVault AB	Excellensmedel	Vinnova Excellensmedel	39100	2024-09-12	Lindahls slutfaktura affärsjuridik
Affärskompetens Sverige AB	Excellensmedel	Vinnova Excellensmedel	15000	2024-08-31	Affärscoachning augusti Andreas ( origami makers)
Polletten AB	Excellensmedel	Vinnova Excellensmedel	7500	2024-08-31	Affärscoachning Andreas augusti (origami makers)
